"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-177.101888946247,-169.168716248823,2,2
"Nested (No Outliers)",-183.978151167428,-176.073964202739,1,1
"Study-Level (All)",-0.984598617597208,-1.76572279272901,4,4
"Study-Level (No Outliers)",-1.29047452174261,-2.07159869687441,3,3
