"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",930.926538314385,943.767725831265,4,4
"Nested (No Outliers)",190.363247746971,202.952580130355,3,3
"Study-Level (All)",55.5635499065751,58.9906940399837,2,2
"Study-Level (No Outliers)",23.1379509412662,26.5650950746749,1,1
