"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-323.610723426946,-313.982264968422,2,2
"Nested (No Outliers)",-332.405374339123,-322.860023688246,1,1
"Study-Level (All)",-13.5544231241559,-12.5846098245799,4,4
"Study-Level (No Outliers)",-18.8052609624808,-17.8354476629048,3,3
