"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-57.5836535433416,-52.3706446884915,1.5,1.5
"Nested (No Outliers)",-57.5836535433416,-52.3706446884915,1.5,1.5
"Study-Level (All)",-0.264913430679114,-2.87861906955922,3.5,3.5
"Study-Level (No Outliers)",-0.264913430679114,-2.87861906955922,3.5,3.5
