"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-14.1177607956742,-5.0461192331354,2,3
"Nested (No Outliers)",-164.803488415994,-156.04354563851,1,1
"Study-Level (All)",18.3645282850743,19.7806286872787,4,4
"Study-Level (No Outliers)",-6.7618141824421,-5.7920008828661,3,2
