"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-29.9286453810424,-22.7452979170251,2,2
"Nested (No Outliers)",-77.9514424772283,-70.9592424563694,1,1
"Study-Level (All)",15.7308533629627,15.8897364463223,4,4
"Study-Level (No Outliers)",-8.15083932076682,-8.25901902265619,3,3
