"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-59.0829200747396,-57.1657480858938,1.5,1.5
"Nested (No Outliers)",-59.0829200747396,-57.1657480858938,1.5,1.5
"Study-Level (All)",-8.28576712859407,-10.8994727674742,3.5,3.5
"Study-Level (No Outliers)",-8.28576712859407,-10.8994727674742,3.5,3.5
