"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-283.302853213474,-274.251013703029,2,2
"Nested (No Outliers)",-399.849328847744,-391.003049176609,1,1
"Study-Level (All)",-4.31695123541648,-4.42513093730585,4,4
"Study-Level (No Outliers)",-21.1115045624208,-21.5279856239647,3,3
