"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",305.515385379722,317.706741005785,4,4
"Nested (No Outliers)",-86.0956918581028,-74.3229244658592,1,1
"Study-Level (All)",63.624952173937,67.2822349669152,3,3
"Study-Level (No Outliers)",2.42909854771272,5.95149877909984,2,2
