"unique_id","Study","Effect_ID","n_Treat","n_CK","Effect_Size_lnRR","Percent_Change","Variance","Outlier_Reason"
"1_4","1","4",3,3,-0.705886206337375,-50.6329113924051,0.00230824022211826,"IQR-based on yi"
"2_3","2","3",3,3,0.84588940945014,133.004926108373,0.0111198886078402,"IQR-based on yi"
"4_9","4","9",3,3,-0.971137327143905,-62.1347858244126,0.021333760747933,"IQR-based on yi"
"4_11","4","11",3,3,-0.690302228427714,-49.8575498575499,0.0151545675212789,"IQR-based on yi"
"4_12","4","12",3,3,-0.760956609256016,-53.2780733110042,0.017055110878868,"IQR-based on yi"
"4_13","4","13",3,3,-1.73112215418834,-82.2914418894112,0.0263435856022306,"IQR-based on yi"
"4_14","4","14",3,3,-2.03981026957979,-86.9946616379109,0.0349830186586684,"IQR-based on yi"
"4_23","4","23",3,3,-0.819562770040189,-55.9375733474597,0.00874742629371713,"IQR-based on yi"
"4_26","4","26",3,3,-0.6852956316297,-49.6058773415176,0.00973432685298326,"IQR-based on yi"
"4_27","4","27",3,3,-1.32365393489418,-73.3839011911708,0.0122391428997718,"IQR-based on yi"
"4_28","4","28",3,3,-1.46103014567476,-76.8002839281899,0.0181454669814336,"IQR-based on yi"
"4_37","4","37",3,3,-0.975521335214979,-62.3004238843851,0.0140798476453831,"IQR-based on yi"
"4_39","4","39",3,3,-0.687941505732395,-49.739037605257,0.0114091502964178,"IQR-based on yi"
"4_40","4","40",3,3,-0.790807650350778,-54.6521604644321,0.0201602848230082,"IQR-based on yi"
"4_41","4","41",3,3,-1.72064144165566,-82.1048675744622,0.0349830186586684,"IQR-based on yi"
"4_42","4","42",3,3,-1.87653700083114,-84.6880558818635,0.0349830186586684,"IQR-based on yi"
"5_1","5","1",4,4,1.04248205643951,183.62480127186,0.00147078114559366,"IQR-based on yi"
"10_1","10","1",3,3,-0.679548020724863,-49.3153975498439,0.00196104152745821,"IQR-based on yi"
"11_8","11","8",4,4,-0.699929104385712,-50.3379489240437,0.00147078114559366,"IQR-based on yi"
"13_1","13","1",3,3,2.24601474150565,845.000000000001,0.0349830186586684,"IQR-based on yi"
"13_2","13","2",3,3,3.19867311755068,2349.99999999999,0.0349830186586684,"IQR-based on yi"
"13_3","13","3",3,3,3.22485789654574,2414.99999999999,0.0349830186586684,"IQR-based on yi"
"13_4","13","4",3,3,1.42347336436164,315.151515151514,0.0349830186586684,"IQR-based on yi"
"13_5","13","5",3,3,2.13470422035489,745.454545454546,0.0349830186586684,"IQR-based on yi"
"13_6","13","6",3,3,2.30258509299405,900,0.0349830186586684,"IQR-based on yi"
"14_12","14","12",2,2,-0.705596348292588,-50.6185998705697,0.00294156229118732,"IQR-based on yi"
"16_1","16","1",4,4,-0.85365516088267,-57.4144486692015,0.0349830186586684,"IQR-based on yi"
"16_2","16","2",4,4,-0.944461608840852,-61.1111111111111,0.0218742579019051,"IQR-based on yi"
"17_13","17","13",3,3,-0.933480736915189,-60.6817239950268,0.0134195136965216,"IQR-based on yi"
"17_14","17","14",3,3,-0.974302731435444,-62.2544550352258,0.0137976001162747,"IQR-based on yi"
"17_27","17","27",3,3,-0.92953595862417,-60.5263157894735,0.0106771314250547,"IQR-based on yi"
"17_28","17","28",3,3,-0.998528830111121,-63.1578947368419,0.0135796257561206,"IQR-based on yi"
"17_41","17","41",3,3,-0.921540087760298,-60.2094240837696,0.0116053467212964,"IQR-based on yi"
"17_42","17","42",3,3,-0.961813986898238,-61.7801047120418,0.0100639714314355,"IQR-based on yi"
"29_3","29","3",4,4,0.913889456183504,149.400401266382,0.00147078114559366,"IQR-based on yi"
"30_5","30","5",4,4,-0.806170568963341,-55.3435114503817,0.00147078114559366,"IQR-based on yi"
"38_8","38","8",4,4,1.07665751002114,193.485342019545,0.00147078114559366,"IQR-based on yi"
"38_9","38","9",4,4,1.13800003038367,212.052117263844,0.00147078114559366,"IQR-based on yi"
"38_10","38","10",4,4,1.20462405801226,233.550488599349,0.00147078114559366,"IQR-based on yi"
"38_11","38","11",4,4,1.22204947472612,239.41368078176,0.00147078114559366,"IQR-based on yi"
"45_13","45","13",3,3,-0.720827014482378,-51.3650128793094,0.00196104152745821,"IQR-based on yi"
"47_1","47","1",3,3,0.862971094341372,137.019230769231,0.0349830186586684,"IQR-based on yi"
"47_3","47","3",3,3,1.08245684844582,195.192307692308,0.0349830186586684,"IQR-based on yi"
"47_4","47","4",3,3,1.01160091167848,175,0.0349830186586684,"IQR-based on yi"
"47_5","47","5",3,3,1.22772689033404,241.346153846154,0.0349830186586684,"IQR-based on yi"
"47_7","47","7",3,3,1.09540201303786,199.038461538462,0.0349830186586684,"IQR-based on yi"
"47_8","47","8",3,3,0.950320480460466,158.653846153846,0.0349830186586684,"IQR-based on yi"
"47_19","47","19",3,3,1.14485168131814,214.197530864198,0.0349830186586684,"IQR-based on yi"
"47_20","47","20",3,3,0.9877496958563,168.518518518519,0.0349830186586684,"IQR-based on yi"
"47_21","47","21",3,3,1.15072828980712,216.049382716049,0.0349830186586684,"IQR-based on yi"
"47_22","47","22",3,3,1.11291283881031,204.320987654321,0.0349830186586684,"IQR-based on yi"
"47_23","47","23",3,3,1.3453437575068,283.950617283951,0.0349830186586684,"IQR-based on yi"
"47_24","47","24",3,3,1.08618976866955,196.296296296296,0.0349830186586684,"IQR-based on yi"
"47_25","47","25",3,3,1.15851043024918,218.518518518519,0.0349830186586684,"IQR-based on yi"
"47_26","47","26",3,3,1.03050086280896,180.246913580247,0.0349830186586684,"IQR-based on yi"
"47_27","47","27",3,3,1.04145387482816,183.333333333333,0.0349830186586684,"IQR-based on yi"
